epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,2328.15,0.49961,0.35223,0.95136,0.9876,0.9834,0.99138,0.95252,0.33193,0.18663,0.94181,0.007228,0.007228,0.007228
142,2344.65,0.50395,0.35784,0.95424,0.98746,0.98354,0.99155,0.95154,0.33204,0.18812,0.94244,0.0072082,0.0072082,0.0072082
143,2361.28,0.50328,0.35664,0.95362,0.98753,0.98359,0.99155,0.95118,0.33191,0.18593,0.9427,0.0071884,0.0071884,0.0071884
144,2378.5,0.50123,0.35309,0.95172,0.9876,0.98371,0.9916,0.95184,0.33211,0.18588,0.94272,0.0071686,0.0071686,0.0071686
145,2394.73,0.49616,0.34926,0.95002,0.98756,0.9837,0.99175,0.95209,0.33188,0.18675,0.94292,0.0071488,0.0071488,0.0071488
146,2411.09,0.4982,0.34912,0.95075,0.98753,0.98363,0.99164,0.95159,0.33166,0.18628,0.94293,0.007129,0.007129,0.007129
147,2427.78,0.49682,0.3495,0.94731,0.9876,0.98366,0.99116,0.95064,0.33101,0.18583,0.94304,0.0071092,0.0071092,0.0071092
148,2444.75,0.49532,0.34934,0.95121,0.98748,0.98368,0.99145,0.95072,0.33056,0.18639,0.94299,0.0070894,0.0070894,0.0070894
149,2461.23,0.49662,0.34928,0.95079,0.98742,0.98371,0.99135,0.95034,0.33004,0.18635,0.94327,0.0070696,0.0070696,0.0070696
150,2478.15,0.49612,0.35095,0.95211,0.98733,0.98372,0.99136,0.95046,0.32981,0.18658,0.94358,0.0070498,0.0070498,0.0070498
151,2494.54,0.50038,0.35637,0.95287,0.98802,0.9837,0.99136,0.9511,0.32943,0.18577,0.94329,0.00703,0.00703,0.00703
152,2511.21,0.49295,0.34667,0.94837,0.98802,0.98368,0.99136,0.95122,0.32923,0.18536,0.94334,0.0070102,0.0070102,0.0070102
153,2528.26,0.49594,0.35433,0.95151,0.98803,0.98365,0.99145,0.95147,0.32884,0.1857,0.94329,0.0069904,0.0069904,0.0069904
154,2544.86,0.4909,0.34703,0.94822,0.9881,0.98361,0.99154,0.95162,0.32905,0.18588,0.94331,0.0069706,0.0069706,0.0069706
155,2561.55,0.50016,0.35513,0.95235,0.98821,0.98357,0.99164,0.95217,0.32863,0.18435,0.94308,0.0069508,0.0069508,0.0069508
156,2578.19,0.4934,0.3463,0.94899,0.98825,0.98355,0.99164,0.95234,0.32897,0.18503,0.94353,0.006931,0.006931,0.006931
157,2594.85,0.4918,0.34887,0.94785,0.98818,0.98352,0.99175,0.95205,0.32883,0.1859,0.94384,0.0069112,0.0069112,0.0069112
158,2611.43,0.49061,0.3487,0.94927,0.98822,0.98351,0.99154,0.95163,0.32838,0.18583,0.94362,0.0068914,0.0068914,0.0068914
159,2627.99,0.49069,0.34831,0.9473,0.98814,0.98352,0.99138,0.95108,0.32781,0.18464,0.94342,0.0068716,0.0068716,0.0068716
160,2644.62,0.48688,0.34335,0.94465,0.98802,0.98353,0.99138,0.95138,0.32749,0.18524,0.94352,0.0068518,0.0068518,0.0068518
161,2660.8,0.48672,0.34308,0.94519,0.98797,0.98353,0.99141,0.95164,0.32717,0.18535,0.94333,0.006832,0.006832,0.006832
162,2678.1,0.4838,0.34325,0.9458,0.98787,0.98354,0.99141,0.95145,0.3267,0.18501,0.94309,0.0068122,0.0068122,0.0068122
163,2694.6,0.49282,0.3485,0.94865,0.98794,0.98353,0.99141,0.95135,0.32621,0.18473,0.94307,0.0067924,0.0067924,0.0067924
164,2710.36,0.48784,0.34473,0.94835,0.98795,0.98344,0.99133,0.95124,0.32614,0.18495,0.94319,0.0067726,0.0067726,0.0067726
165,2726.77,0.48728,0.34488,0.94308,0.98792,0.9835,0.99142,0.95151,0.32625,0.18558,0.94343,0.0067528,0.0067528,0.0067528
166,2743.21,0.48804,0.34423,0.94695,0.98704,0.98365,0.99155,0.95168,0.32574,0.18505,0.94302,0.006733,0.006733,0.006733
167,2759.87,0.48338,0.33944,0.94203,0.98703,0.9836,0.99139,0.95158,0.32551,0.18482,0.9429,0.0067132,0.0067132,0.0067132
168,2776.88,0.48438,0.34261,0.94428,0.98702,0.98365,0.99139,0.95167,0.32546,0.18415,0.94297,0.0066934,0.0066934,0.0066934
169,2793.9,0.47932,0.33778,0.94283,0.98701,0.98369,0.9915,0.95167,0.32514,0.18381,0.94296,0.0066736,0.0066736,0.0066736
170,2811.09,0.48173,0.33649,0.94223,0.98701,0.98353,0.99135,0.95165,0.32512,0.18426,0.9431,0.0066538,0.0066538,0.0066538
171,2827.89,0.48479,0.34386,0.94422,0.98691,0.98358,0.99118,0.95152,0.32504,0.18427,0.94314,0.006634,0.006634,0.006634
172,2844.53,0.47806,0.33614,0.94055,0.98688,0.98363,0.99118,0.95161,0.32507,0.18443,0.94309,0.0066142,0.0066142,0.0066142
173,2861.5,0.48065,0.33954,0.94256,0.98694,0.98364,0.99122,0.95154,0.3247,0.18435,0.94285,0.0065944,0.0065944,0.0065944
174,2878.62,0.47642,0.3369,0.94064,0.98696,0.98362,0.99122,0.95154,0.32478,0.18411,0.94257,0.0065746,0.0065746,0.0065746
175,2895.38,0.47878,0.34192,0.94286,0.98695,0.98352,0.99099,0.9516,0.32495,0.18435,0.94274,0.0065548,0.0065548,0.0065548
176,2912.04,0.47745,0.33852,0.94092,0.98693,0.98331,0.99118,0.95144,0.32519,0.1846,0.94295,0.006535,0.006535,0.006535
177,2928.92,0.47554,0.33423,0.94018,0.9869,0.98315,0.99118,0.95145,0.32504,0.1847,0.94316,0.0065152,0.0065152,0.0065152
178,2945.63,0.47926,0.33753,0.94008,0.98681,0.98317,0.99118,0.95191,0.32539,0.18565,0.94349,0.0064954,0.0064954,0.0064954
